rank,firm_name,hq_city,hq_state,website,careers_url,ats_type,ats_url
1,Deloitte,New York,NY,https://www.deloitte.com,https://www.deloitte.com/us/en/careers.html,unknown,
2,PwC,New York,NY,https://www.pwc.com/us,https://www.pwc.com/us/en/careers.html,unknown,
3,EY,New York,NY,https://www.ey.com/en_us,https://www.ey.com/en_us/careers,unknown,
4,KPMG,New York,NY,https://kpmg.com/us,https://kpmg.com/us/en/careers.html,unknown,
5,RSM,Chicago,IL,https://rsmus.com,https://rsmus.com/careers,unknown,
6,Baker Tilly,Chicago,IL,https://www.bakertilly.com,https://www.bakertilly.com/careers,unknown,
7,CBIZ,Cleveland,OH,https://www.cbiz.com,https://www.cbiz.com/careers,unknown,
8,BDO USA,Chicago,IL,https://www.bdo.com,https://www.bdo.com/careers,unknown,
9,Grant Thornton,Chicago,IL,https://www.grantthornton.com,https://www.grantthornton.com/careers,unknown,
10,Forvis Mazars,Springfield,MO,https://www.forvismazars.us,https://www.forvismazars.us/careers,unknown,
11,CLA,Minneapolis,MN,https://www.claconnect.com,https://www.claconnect.com/careers,unknown,
12,Crowe,Chicago,IL,https://www.crowe.com,https://www.crowe.com/careers,unknown,
13,Plante Moran,Southfield,MI,https://www.plantemoran.com,https://www.plantemoran.com/careers,unknown,
14,CohnReznick,New York,NY,https://www.cohnreznick.com,https://www.cohnreznick.com/careers,unknown,
15,Moss Adams,Seattle,WA,https://www.mossadams.com,https://www.mossadams.com/careers,unknown,
16,Marcum,New York,NY,https://www.marcumllp.com,https://www.marcumllp.com/careers,unknown,
17,EisnerAmper,New York,NY,https://www.eisneramper.com,https://www.eisneramper.com/careers,unknown,
18,Cherry Bekaert,Richmond,VA,https://www.cbh.com,https://www.cbh.com/careers,unknown,
19,Citrin Cooperman,New York,NY,https://www.citrincooperman.com,https://www.citrincooperman.com/careers,unknown,
20,PKF O'Connor Davies,Harrison,NY,https://www.pkfod.com,https://www.pkfod.com/careers,unknown,
21,Eide Bailly,Fargo,ND,https://www.eidebailly.com,https://www.eidebailly.com/careers,unknown,
22,Armanino,San Ramon,CA,https://www.armanino.com,https://www.armanino.com/careers,unknown,
23,BPM LLP,San Francisco,CA,https://www.bpm.com,https://www.bpm.com/careers,unknown,
24,Dixon Hughes Goodman (DHG),Charlotte,NC,https://www.dhg.com,https://www.dhg.com/careers,unknown,
25,Berkowitz Pollack Brant,Miami,FL,https://www.bpbcpa.com,https://www.bpbcpa.com/careers,unknown,
